   x      v
0.0060300603 0.0525781972
0.0060400604 0.0526623411
0.0060500605 0.0527464755
0.0060600606 0.0528306005
0.0060700607 0.0529147161
0.0060800608 0.0529988223
0.0060900609 0.0530829191
0.0061000610 0.0531670064
0.0061100611 0.0532510844
0.0061200612 0.0533351529
0.0061300613 0.0534192121
0.0061400614 0.0535032618
0.0061500615 0.0535873022
0.0061600616 0.0536713331
0.0061700617 0.0537553546
0.0061800618 0.0538393667
0.0061900619 0.0539233695
0.0062000620 0.0540073628
0.0062100621 0.0540913467
0.0062200622 0.0541753212
0.0062300623 0.0542592864
0.0062400624 0.0543432421
0.0062500625 0.0544271884
0.0062600626 0.0545111254
0.0062700627 0.0545950529
0.0062800628 0.0546789711
0.0062900629 0.0547628799
0.0063000630 0.0548467792
0.0063100631 0.0549306692
0.0063200632 0.0550145498
0.0063300633 0.0550984210
0.0063400634 0.0551822828
0.0063500635 0.0552661353
0.0063600636 0.0553499783
0.0063700637 0.0554338120
0.0063800638 0.0555176363
0.0063900639 0.0556014512
0.0064000640 0.0556852567
0.0064100641 0.0557690529
0.0064200642 0.0558528396
0.0064300643 0.0559366170
0.0064400644 0.0560203850
0.0064500645 0.0561041436
0.0064600646 0.0561878929
0.0064700647 0.0562716328
0.0064800648 0.0563553633
0.0064900649 0.0564390844
0.0065000650 0.0565227962
0.0065100651 0.0566064986
0.0065200652 0.0566901916
0.0065300653 0.0567738752
0.0065400654 0.0568575495
0.0065500655 0.0569412144
0.0065600656 0.0570248700
0.0065700657 0.0571085162
0.0065800658 0.0571921530
0.0065900659 0.0572757805
0.0066000660 0.0573593986
0.0066100661 0.0574430073
0.0066200662 0.0575266067
0.0066300663 0.0576101967
0.0066400664 0.0576937773
0.0066500665 0.0577773486
0.0066600666 0.0578609106
0.0066700667 0.0579444632
0.0066800668 0.0580280064
0.0066900669 0.0581115403
0.0067000670 0.0581950648
0.0067100671 0.0582785800
0.0067200672 0.0583620858
0.0067300673 0.0584455822
0.0067400674 0.0585290694
